"Statement Period","Transaction Month","Label","Artist","Release Title","Track Title","UPC","ISRC","Release Catalog ID","Track Catalog ID","Format","Release ID","Track ID","Account ID","Contract ID","Payee ID","Service","Channel","Territory","Quantity","Gross Revenue in USD","Mechanical Royalties Deducted","Contract Rate %","Net Revenue in USD","Your Share %","Amount Due in USD","Opening Balance in USD","Closing Balance in USD"
"2025-04","2025-02","RoyalMotion IT","Songket","Tumi Nei - তুমি নেই","Tumi Nei - তুমি নেই","7316479834224","HUDHU2519856","RMITSK01","RMITSK01","Track","2652456.0000000000","6053962","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","Oman","4","0.0010455000","0.0000000000","75.0000000000","0.0007841250","100.0000000000","0.0007841250","",""
"2025-04","2025-02","RoyalMotion IT","Dorshon","Priyo Bhul - প্রিয় ভুল","Priyo Bhul - প্রিয় ভুল","7316479786929","HUDHU2519799","RMITDS04","RMITDS04","Track","2644531.0000000000","6040966","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","United Kingdom","3","0.0056197750","0.0000000000","75.0000000000","0.0042148312","100.0000000000","0.0042148312","",""
"2025-04","2025-02","RoyalMotion IT","Songket","Tumi Nei - তুমি নেই","Tumi Nei - তুমি নেই","7316479834224","HUDHU2519856","RMITSK01","RMITSK01","Track","2652456.0000000000","6053962","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","Oman","2","0.0003225750","0.0000000000","75.0000000000","0.0002419313","100.0000000000","0.0002419313","",""
"2025-04","2025-02","RoyalMotion IT","Obsedian Rifts","Bishad Rupantor - বিষাদ রুপান্তর","Bishad Rupantor - বিষাদ রুপান্তর","7316479968943","HUDHU2519932","RMITOR01","RMITOR01","Track","2676115.0000000000","6103462","612392","819897","669643","YouTube Music","Ad-Supported Streaming","United States","5","0.0568546162","0.0000000000","75.0000000000","0.0426409622","100.0000000000","0.0426409622","",""
"2025-04","2025-02","RoyalMotion IT","Songket","Tumi Nei - তুমি নেই","Tumi Nei - তুমি নেই","7316479834224","HUDHU2519856","RMITSK01","RMITSK01","Track","2652456.0000000000","6053962","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","Saudi Arabia","10","0.0028492000","0.0000000000","75.0000000000","0.0021369000","100.0000000000","0.0021369000","",""
"2025-04","2025-02","RoyalMotion IT","Obsedian Rifts","Bishad Rupantor - বিষাদ রুপান্তর","Bishad Rupantor - বিষাদ রুপান্তর","7316479968943","HUDHU2519932","RMITOR01","RMITOR01","Track","2676115.0000000000","6103462","612392","819897","669643","YouTube Music","Ad-Supported Streaming","India","78","0.0072107219","0.0000000000","75.0000000000","0.0054080414","100.0000000000","0.0054080414","",""
"2025-04","2025-02","RoyalMotion IT","Dorshon","Priyo Bhul - প্রিয় ভুল","Priyo Bhul - প্রিয় ভুল","7316479786929","HUDHU2519799","RMITDS04","RMITDS04","Track","2644531.0000000000","6040966","612392","819897","669643","YouTube Content ID","Ad-Supported Streaming","India","3","0.0003463750","0.0000000000","75.0000000000","0.0002597813","100.0000000000","0.0002597813","",""
"2025-04","2025-02","RoyalMotion IT","Obsedian Rifts","Bishad Rupantor - বিষাদ রুপান্তর","Bishad Rupantor - বিষাদ রুপান্তর","7316479968943","HUDHU2519932","RMITOR01","RMITOR01","Track","2676115.0000000000","6103462","612392","819897","669643","YouTube Music","Ad-Supported Streaming","Malaysia","56","0.0048993319","0.0000000000","75.0000000000","0.0036744989","100.0000000000","0.0036744989","",""
"2025-04","2025-02","RoyalMotion IT","Obsedian Rifts","Bishad Rupantor - বিষাদ রুপান্তর","Bishad Rupantor - বিষাদ রুপান্তর","7316479968943","HUDHU2519932","RMITOR01","RMITOR01","Track","2676115.0000000000","6103462","612392","819897","669643","YouTube Music","Ad-Supported Streaming","Kuwait","14","0.0112624300","0.0000000000","75.0000000000","0.0084468225","100.0000000000","0.0084468225","",""
"2025-04","2025-02","RoyalMotion IT","Dorshon","Priyo Bhul - প্রিয় ভুল","Priyo Bhul - প্রিয় ভুল","7316479786929","HUDHU2519799","RMITDS04","RMITDS04","Track","2644531.0000000000","6040966","612392","819897","669643","YouTube Music","Ad-Supported Streaming","Bangladesh","9","0.0008203825","0.0000000000","75.0000000000","0.0006152869","100.0000000000","0.0006152869","",""
